# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/230574.1.all.q/genomes/tb927_11/tb927_11.gtf" "-o" "/tmp/230574.1.all.q/P_sub_2/counts.txt" "/tmp/230574.1.all.q/P_sub_2/P_sub_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/230574.1.all.q/P_sub_2/P_sub_2_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	0
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	0
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	0
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	0
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	0
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	0
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	0
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	0
Tb10.v4.0081	tryp_X-188b09.p2kB601;tryp_X-188b09.p2kB601	19250;20157	20155;20774	+;+	1524	1
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	2
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	0
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	0
Tb927.8.110	Tb927_08_v5.1	3247	4698	+	1452	1
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	0
Tb927.8.130	Tb927_08_v5.1	7309	8886	+	1578	8
Tb927.8.140	Tb927_08_v5.1	10953	11471	+	519	0
Tb927.8.150	Tb927_08_v5.1	18907	20445	+	1539	0
Tb927.8.160	Tb927_08_v5.1	21627	22031	+	405	0
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	0
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	0
Tb927.8.190	Tb927_08_v5.1	29452	31044	+	1593	0
