# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/230576.1.all.q/genomes/tb927_11/tb927_11.gtf" "-o" "/tmp/230576.1.all.q/P_tot_3/counts.txt" "/tmp/230576.1.all.q/P_tot_3/P_tot_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/230576.1.all.q/P_tot_3/P_tot_3_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	2
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	0
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	0
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	0
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	0
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	0
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	2
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	0
Tb10.v4.0081	tryp_X-188b09.p2kB601;tryp_X-188b09.p2kB601	19250;20157	20155;20774	+;+	1524	0
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	0
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	0
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	1
Tb927.8.110	Tb927_08_v5.1	3247	4698	+	1452	0
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	0
Tb927.8.130	Tb927_08_v5.1	7309	8886	+	1578	4
Tb927.8.140	Tb927_08_v5.1	10953	11471	+	519	0
Tb927.8.150	Tb927_08_v5.1	18907	20445	+	1539	1
Tb927.8.160	Tb927_08_v5.1	21627	22031	+	405	0
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	0
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	0
Tb927.8.190	Tb927_08_v5.1	29452	31044	+	1593	1
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	0
Tb927.8.210	Tb927_08_v5.1	33526	35076	+	1551	0
Tb927.8.220	Tb927_08_v5.1	36916	38436	+	1521	0
Tb927.8.230	Tb927_08_v5.1	39787	40887	+	1101	0
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	0
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	0
Tb927.8.260	Tb927_08_v5.1	46608	48053	+	1446	0
Tb927.8.270	Tb927_08_v5.1	62486	64021	+	1536	1
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	0
Tb927.8.290	Tb927_08_v5.1	69197	70714	+	1518	2
Tb927.8.300	Tb927_08_v5.1	72810	74210	+	1401	0
Tb927.8.310	Tb927_08_v5.1	75869	77278	+	1410	0
Tb927.8.320	Tb927_08_v5.1	84581	86011	+	1431	0
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	1
Tb927.8.340	Tb927_08_v5.1	90925	92415	+	1491	0
Tb927.8.350	Tb927_08_v5.1	94593	96173	+	1581	0
Tb927.8.360	Tb927_08_v5.1	98581	100053	+	1473	0
Tb927.8.370	Tb927_08_v5.1	101223	102323	+	1101	1
Tb927.8.380	Tb927_08_v5.1	102529	104019	+	1491	0
Tb927.8.390	Tb927_08_v5.1	105019	106005	+	987	0
Tb927.8.400	Tb927_08_v5.1	106153	107748	+	1596	0
Tb927.8.410	Tb927_08_v5.1	108919	110448	+	1530	0
Tb927.8.420	Tb927_08_v5.1	112157	113707	+	1551	0
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	0
Tb927.8.440	Tb927_08_v5.1	118408	119910	+	1503	0
Tb927.8.450	Tb927_08_v5.1	124234	125244	+	1011	0
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	0
Tb927.8.470	Tb927_08_v5.1	132810	134249	+	1440	1
Tb927.8.480	Tb927_08_v5.1	135693	136691	-	999	17
Tb927.8.490	Tb927_08_v5.1	138767	139618	-	852	49
Tb927.8.500	Tb927_08_v5.1	139718	140662	-	945	12
Tb927.8.510	Tb927_08_v5.1	141813	142628	-	816	49
Tb927.8.520	Tb927_08_v5.1	142728	143255	-	528	28
Tb927.8.530	Tb927_08_v5.1	148507	149241	-	735	27
Tb927.8.540	Tb927_08_v5.1	151635	158966	-	7332	6487
Tb927.8.550	Tb927_08_v5.1	159730	160263	-	534	981
Tb927.8.560	Tb927_08_v5.1	160844	162577	-	1734	2171
Tb927.8.570	Tb927_08_v5.1	163209	164204	-	996	1984
Tb927.8.580	Tb927_08_v5.1	164621	165688	-	1068	1119
Tb927.8.590	Tb927_08_v5.1	166539	168575	-	2037	2017
Tb927.8.595	Tb927_08_v5.1	169489	169734	-	246	685
Tb927.8.600	Tb927_08_v5.1	169984	170895	-	912	876
Tb927.8.610	Tb927_08_v5.1	172338	174983	-	2646	2128
Tb927.8.620	Tb927_08_v5.1	175388	176569	-	1182	1636
Tb927.8.630	Tb927_08_v5.1	176866	178404	-	1539	1281
Tb927.8.640	Tb927_08_v5.1	178808	179149	-	342	536
Tb927.8.650	Tb927_08_v5.1	179692	183477	-	3786	7213
